"year","Adrar","Assaba","Brakna","Dakhlet Nouadhibou","Gorgol","Guidimaka","Hodh ech Chargui","Hodh el Gharbi","Inchiri","Nouakchott","Tagant","Tiris Zemmour","Trarza"
2000,40.1791485122648,228.258880659345,183.16832422853,29.3085508551499,301.163075107206,356.985335508998,101.847112403944,197.736000023854,72.2952433215843,95.2653060427734,57.5926943562781,16.169944458746,153.975782381797
2001,32.651053485875,244.104532867325,184.188264570875,23.5339333959038,289.304358444909,370.536037556606,96.0491995976381,196.977322345676,67.0261617334409,120.13673467995,57.6706035797763,7.36320777370362,163.707775658521
2002,43.0299186341592,205.868408889261,143.51287916625,36.9038704031966,263.8391041333,337.076599137645,95.9151056968608,187.644892586657,60.0519575546027,93.2448980342977,58.3331014001254,19.862018587515,117.387987511016
2003,84.7966652208313,276.479047176548,208.202585757649,59.419531962525,336.63062960162,424.035257467288,132.212107548054,233.662049613019,108.247566776734,147.196938785515,85.4952861081441,43.1595858855034,179.419451129246
2004,36.2669282228478,242.30000006189,151.855246142494,32.2888388637349,291.60920095552,355.60265208704,93.1253559737422,207.796661188435,49.1709476520716,72.7775510215029,61.5102974096886,23.8604853283324,104.081896987668
2005,66.196403665709,309.393062059177,226.703083102907,32.4026102432252,370.081598059407,426.446021990801,121.757840272852,250.565190135457,55.8534211584589,110.314285796972,86.1857540171641,27.3155559390324,171.474578726371
2006,55.9021214894692,228.542553201242,178.832670347281,50.9143114357275,275.769007288055,326.994071969236,112.668037488867,197.455107438651,68.5582875933374,100.126530575281,68.8898764641495,38.4958589805125,146.193235477738
2007,46.4883681910588,252.869796488768,173.531675791059,13.8218721961192,292.694430968059,378.794071743018,109.519359675293,225.128892563658,41.3010611073317,81.286734665763,73.658758004074,13.6350356041832,122.816827127142
2008,65.22766638383,269.160453340192,189.967976188405,23.3945994634252,290.25024221207,369.785803640642,132.547280467474,237.108264470187,58.5360044028993,105.696938747958,82.5548964810695,39.4041349688581,145.452864707989
2009,50.0107526891973,283.601248901468,205.415912504537,30.9859586151251,351.344794176781,412.494227843333,120.616485358496,229.095735583059,59.3678009535939,109.110204018728,89.2343015901512,35.2717674611649,159.86899375228
2010,128.026649208509,278.9879278862,249.92660372353,55.1612961297498,364.602542464475,407.627613271745,149.484779342726,221.364661206729,102.774094421025,172.462244921041,109.962619537345,98.3716165324673,197.62041405964
2011,41.4058268023187,207.499953767528,137.14072601801,20.3618361945226,273.806537639431,328.578471230805,97.6798178098356,160.280396688504,51.3991218579124,83.2153060924338,58.7535745123922,22.917704927788,103.827636034355
2012,74.7379613431277,294.228630947495,214.203033365687,47.1660665926112,334.383171908936,425.368174872781,139.55265764064,255.856165334745,61.2294548209191,109.537754894595,91.4346494771259,40.6299770428811,154.880548849637
2013,63.3058558566958,220.902266425366,159.969020393081,46.3452745517439,258.778571507012,331.384087372263,122.813973638381,200.615603332544,90.457006993832,152.718367308454,70.4410679718192,49.5428709351655,155.20365913293
2014,46.1955899302651,220.934505100763,153.454201881085,16.979297940885,262.049273631529,327.786895526076,110.073246649461,200.471801659359,46.4257226726384,95.5724488520349,62.1724995428877,25.6339067842577,120.40871449926
2015,61.969391162822,254.217206323556,174.935803113515,40.6435643825697,300.315859571704,388.394227892126,123.481869647904,215.121454556863,68.3450055195545,80.4040815900175,77.6242824600409,70.1537244916124,142.108088594262
2016,59.4252034106688,268.367992668868,178.642317245895,37.0398740020424,290.722639226388,384.12558512893,135.625019879982,237.695438046079,54.940907430085,121.243877627108,78.8848321052023,40.682258820067,131.761747685887
2017,55.5259372125477,222.747594765916,139.229338657287,20.3337534067936,261.432445553517,335.142589763086,121.898717598282,196.768099223932,39.9358946470236,67.2040816074123,68.2249260559305,42.1104792716638,99.9686567431704
2018,57.1861377471965,251.559019449175,167.800795651869,21.5288928905443,277.020096912628,363.744617848879,150.286937299378,221.643140543532,44.029381636815,95.4265307022297,70.9417985386876,52.963437161205,119.628911903866
2019,40.0283638398544,192.594449613298,131.301243180054,29.4611161100862,244.129782154976,291.376287114206,105.814813847648,188.94790085449,55.6072447913915,80.3163265575256,45.1894068324173,36.1457261836239,109.751540720061
2020,46.8584931729217,272.709898242177,177.788314243122,45.1166516709754,307.501695018334,363.968174761164,133.902953949433,247.477719039269,86.3383095429722,99.901020535705,85.9474691258052,23.1499758511031,143.933678418577
2021,32.8401409352523,205.53131359401,153.17976135223,28.7848785019117,263.232929790695,330.643993866495,103.636534865682,173.295140513376,45.029601187907,92.2775509577169,42.6679248307519,20.8019980629981,124.113288400957
